date,weekday_number,day_type,policy_order,policy_label,policy_name,start,end_exclusive,stations,observed_requests,successful_rentals,failed_rentals,service_rate,failures_per_1000_requests,empty_station_minutes,empty_station_hours,empty_station_time_rate,decision_epochs,relocation_batches,relocation_actions,bikes_moved,max_bikes_moved_in_epoch,max_relocation_actions_in_epoch,relocation_distance_km,relocation_vehicle_minutes,relocation_bikes_in_transit_at_end,initial_station_bikes,unconditional_inbound_returns,successful_internal_returns,outbound_departures,in_transit_at_end,final_station_bikes,conservation_residual,stations_with_requests,p10_station_service_rate,worst_station_id,worst_station_name,worst_station_service_rate,failures_avoided_vs_p0,service_rate_percentage_point_vs_p0,empty_hours_reduced_vs_p0,additional_failures_avoided_vs_default
2025-11-01,5,주말,0,P0 재배치 없음,no_relocation,2025-11-01T00:00:00,2025-11-02T00:00:00,165,3060,2865,195,0.936275,63.725,43491.25,724.854,0.183044,24,0,0,0,0,0,0.0,0.0,0,1450,941,1925,936,4,1451,0,165,0.545455,2304,대현그린타워,0.230769,0,0.0,0.0,0
2025-11-01,5,주말,1,P2 기존 2회·15km/h,greedy_default,2025-11-01T00:00:00,2025-11-02T00:00:00,165,3060,2928,132,0.956863,43.137,27086.359,451.439,0.114,24,24,48,216,10,2,63.229,414.917,0,1450,941,1966,958,4,1429,0,165,0.833333,2351,청소년수련관(수영장)앞,0.285714,63,2.059,273.415,0
2025-11-01,5,주말,2,P2 서비스 3회·20km/h,greedy_service,2025-11-01T00:00:00,2025-11-02T00:00:00,165,3060,2934,126,0.958824,41.176,20528.036,342.134,0.086397,24,24,72,308,15,3,103.797,542.389,0,1450,941,1972,958,4,1429,0,165,0.866667,2351,청소년수련관(수영장)앞,0.285714,69,2.255,382.72,6
2025-11-02,6,주말,0,P0 재배치 없음,no_relocation,2025-11-02T00:00:00,2025-11-03T00:00:00,165,2584,2508,76,0.970588,29.412,26063.117,434.385,0.109693,24,0,0,0,0,0,0.0,0.0,0,1663,718,1775,725,8,1648,0,164,0.9375,4907,극동스포츠 앞,0.411765,0,0.0,0.0,0
2025-11-02,6,주말,1,P2 기존 2회·15km/h,greedy_default,2025-11-02T00:00:00,2025-11-03T00:00:00,165,2584,2559,25,0.990325,9.675,10291.909,171.532,0.043316,24,24,48,211,10,2,45.148,338.843,0,1663,718,1815,736,8,1637,0,164,1.0,4907,극동스포츠 앞,0.647059,51,1.974,262.853,0
2025-11-02,6,주말,2,P2 서비스 3회·20km/h,greedy_service,2025-11-02T00:00:00,2025-11-03T00:00:00,165,2584,2568,16,0.993808,6.192,5398.956,89.983,0.022723,24,24,72,300,15,3,70.425,436.277,0,1663,718,1823,737,8,1636,0,164,1.0,4907,극동스포츠 앞,0.705882,60,2.322,344.402,9
2025-11-03,0,주중,0,P0 재배치 없음,no_relocation,2025-11-03T00:00:00,2025-11-04T00:00:00,165,4108,3963,145,0.964703,35.297,29076.35,484.606,0.122375,24,0,0,0,0,0,0.0,0.0,0,1746,1070,2754,1196,13,1607,0,165,0.861111,3642,LH강남힐스테이트아파트,0.263158,0,0.0,0.0,0
2025-11-03,0,주중,1,P2 기존 2회·15km/h,greedy_default,2025-11-03T00:00:00,2025-11-04T00:00:00,165,4108,3993,115,0.972006,27.994,16920.698,282.012,0.071215,24,24,48,218,10,2,34.301,300.706,0,1746,1070,2772,1208,13,1595,0,165,0.9,3642,LH강남힐스테이트아파트,0.526316,30,0.73,202.594,0
2025-11-03,0,주중,2,P2 서비스 3회·20km/h,greedy_service,2025-11-03T00:00:00,2025-11-04T00:00:00,165,4108,3996,112,0.972736,27.264,12699.554,211.659,0.053449,24,24,72,312,15,3,53.241,393.723,0,1746,1070,2775,1208,13,1595,0,165,0.904762,3642,LH강남힐스테이트아파트,0.526316,33,0.803,272.947,3
2025-11-04,1,주중,0,P0 재배치 없음,no_relocation,2025-11-04T00:00:00,2025-11-05T00:00:00,165,4548,4251,297,0.934697,65.303,34620.8,577.013,0.14571,24,0,0,0,0,0,0.0,0.0,0,1719,1231,2951,1288,12,1650,0,165,0.705882,4936,SK텔레콤(T1) 인근,0.1,0,0.0,0.0,0
2025-11-04,1,주중,1,P2 기존 2회·15km/h,greedy_default,2025-11-04T00:00:00,2025-11-05T00:00:00,165,4548,4327,221,0.951407,48.593,22401.761,373.363,0.094284,24,24,48,221,10,2,39.847,325.138,0,1719,1231,3005,1310,12,1628,0,165,0.809524,4936,SK텔레콤(T1) 인근,0.1,76,1.671,203.65,0
2025-11-04,1,주중,2,P2 서비스 3회·20km/h,greedy_service,2025-11-04T00:00:00,2025-11-05T00:00:00,165,4548,4332,216,0.952507,47.493,17209.389,286.823,0.07243,24,24,72,315,15,3,64.959,431.128,0,1719,1231,3008,1314,10,1626,0,165,0.810811,4936,SK텔레콤(T1) 인근,0.1,81,1.781,290.19,5
2025-11-05,2,주중,0,P0 재배치 없음,no_relocation,2025-11-05T00:00:00,2025-11-06T00:00:00,165,4735,4450,285,0.93981,60.19,30768.283,512.805,0.129496,24,0,0,0,0,0,0.0,0.0,0,1787,1312,3072,1358,20,1721,0,165,0.75,2304,대현그린타워,0.16,0,0.0,0.0,0
