policy_name,policy_label,trip_id,request_at,station_id,station_name,p0_inventory_before,policy_inventory_before,station_net_failures_avoided_vs_p0,station_net_status,has_prior_relocation_out,prior_relocation_out_at,minutes_since_prior_out,within_60_minutes_of_prior_out,prior_out_bikes,prior_out_inventory_before,prior_out_inventory_after,prior_out_destination_id
greedy_default,P2 기존 2회·15km/h,111226,2025-11-24T08:01:17,3604,삼성중앙역 5번출구,4,0,7,improved,true,2025-11-24T06:00:00,121.283,false,4,9,5,2380
greedy_default,P2 기존 2회·15km/h,111669,2025-11-24T08:51:59,2341,일원역 4~5번 출구 사이,4,0,33,improved,true,2025-11-24T07:00:00,111.983,false,4,9,5,2401
greedy_default,P2 기존 2회·15km/h,111697,2025-11-24T08:55:28,2307,압구정 한양 3차 아파트,4,0,18,improved,true,2025-11-24T02:00:00,415.467,false,4,9,5,3627
greedy_default,P2 기존 2회·15km/h,111918,2025-11-24T09:39:07,3622,은마아파트입구 사거리(1),5,0,-1,worsened,true,2025-11-24T00:00:00,579.117,false,5,10,5,2326
greedy_default,P2 기존 2회·15km/h,111955,2025-11-24T09:42:47,2321,학여울역 사거리,4,0,-1,worsened,true,2025-11-24T04:00:00,342.783,false,4,9,5,4919
greedy_default,P2 기존 2회·15km/h,112267,2025-11-24T11:30:17,2388,강남구 도시관리공단,9,0,16,improved,true,2025-11-24T08:00:00,210.283,false,4,9,5,3604
greedy_default,P2 기존 2회·15km/h,112476,2025-11-24T11:57:58,2388,강남구 도시관리공단,8,0,16,improved,true,2025-11-24T08:00:00,237.967,false,4,9,5,3604
greedy_default,P2 기존 2회·15km/h,113021,2025-11-24T15:27:36,3622,은마아파트입구 사거리(1),4,0,-1,worsened,true,2025-11-24T00:00:00,927.6,false,5,10,5,2326
greedy_default,P2 기존 2회·15km/h,113652,2025-11-24T17:30:19,2388,강남구 도시관리공단,3,0,16,improved,true,2025-11-24T08:00:00,570.317,false,4,9,5,3604
greedy_default,P2 기존 2회·15km/h,113589,2025-11-24T17:30:28,2388,강남구 도시관리공단,2,0,16,improved,true,2025-11-24T08:00:00,570.467,false,4,9,5,3604
greedy_default,P2 기존 2회·15km/h,113707,2025-11-24T17:36:03,3622,은마아파트입구 사거리(1),3,0,-1,worsened,true,2025-11-24T00:00:00,1056.05,false,5,10,5,2326
greedy_default,P2 기존 2회·15km/h,113874,2025-11-24T17:41:32,3622,은마아파트입구 사거리(1),2,0,-1,worsened,true,2025-11-24T00:00:00,1061.533,false,5,10,5,2326
greedy_default,P2 기존 2회·15km/h,113920,2025-11-24T18:04:27,2352,서울본부세관(건설회관 앞),5,0,33,improved,true,2025-11-24T10:00:00,484.45,false,5,14,9,2353
greedy_default,P2 기존 2회·15km/h,114022,2025-11-24T18:04:38,2352,서울본부세관(건설회관 앞),4,0,33,improved,true,2025-11-24T10:00:00,484.633,false,5,14,9,2353
greedy_default,P2 기존 2회·15km/h,114492,2025-11-24T18:07:15,2352,서울본부세관(건설회관 앞),3,0,33,improved,true,2025-11-24T10:00:00,487.25,false,5,14,9,2353
greedy_default,P2 기존 2회·15km/h,114216,2025-11-24T18:09:12,2352,서울본부세관(건설회관 앞),2,0,33,improved,true,2025-11-24T10:00:00,489.2,false,5,14,9,2353
greedy_default,P2 기존 2회·15km/h,114157,2025-11-24T18:21:25,2360,도곡1동 주민센터 교차로,9,0,1,improved,true,2025-11-24T12:00:00,381.417,false,5,11,6,2368
greedy_default,P2 기존 2회·15km/h,114181,2025-11-24T18:30:59,2352,서울본부세관(건설회관 앞),1,0,33,improved,true,2025-11-24T10:00:00,510.983,false,5,14,9,2353
greedy_default,P2 기존 2회·15km/h,114230,2025-11-24T18:31:36,2360,도곡1동 주민센터 교차로,8,0,1,improved,true,2025-11-24T12:00:00,391.6,false,5,11,6,2368
greedy_default,P2 기존 2회·15km/h,114320,2025-11-24T18:44:27,2347,두산건설 본사,5,0,27,improved,true,2025-11-24T15:00:00,224.45,false,5,11,6,2371
greedy_default,P2 기존 2회·15km/h,114378,2025-11-24T18:49:16,2328,르네상스 호텔 사거리 역삼지하보도 7번출구 앞,10,0,21,improved,true,2025-11-24T18:00:00,49.267,true,5,12,7,2398
greedy_default,P2 기존 2회·15km/h,114645,2025-11-24T18:53:42,2328,르네상스 호텔 사거리 역삼지하보도 7번출구 앞,9,0,21,improved,true,2025-11-24T18:00:00,53.7,true,5,12,7,2398
greedy_default,P2 기존 2회·15km/h,114426,2025-11-24T18:53:49,2328,르네상스 호텔 사거리 역삼지하보도 7번출구 앞,8,0,21,improved,true,2025-11-24T18:00:00,53.817,true,5,12,7,2398
greedy_default,P2 기존 2회·15km/h,114472,2025-11-24T18:57:56,3649,구룡역 5번 출구,5,0,-1,worsened,true,2025-11-24T13:00:00,357.933,false,5,10,5,2358
greedy_default,P2 기존 2회·15km/h,114593,2025-11-24T19:13:38,3649,구룡역 5번 출구,4,0,-1,worsened,true,2025-11-24T13:00:00,373.633,false,5,10,5,2358
greedy_default,P2 기존 2회·15km/h,114721,2025-11-24T19:29:27,2360,도곡1동 주민센터 교차로,7,0,1,improved,true,2025-11-24T12:00:00,449.45,false,5,11,6,2368
greedy_default,P2 기존 2회·15km/h,115537,2025-11-24T19:54:27,2410,포스코피앤에스타워 (역삼역 3번출구 부근),10,0,4,improved,true,2025-11-24T03:00:00,1014.45,false,5,14,9,4915
greedy_default,P2 기존 2회·15km/h,114875,2025-11-24T19:55:11,3649,구룡역 5번 출구,3,0,-1,worsened,true,2025-11-24T13:00:00,415.183,false,5,10,5,2358
greedy_default,P2 기존 2회·15km/h,114949,2025-11-24T19:57:26,2410,포스코피앤에스타워 (역삼역 3번출구 부근),9,0,4,improved,true,2025-11-24T03:00:00,1017.433,false,5,14,9,4915
