hour,rentals,returns,observed_station_hours,empty_station_hours,average_available_bikes,empty_rate
0,1740,1790,5083,570,11.000983671060398,0.11213850088530396
1,1539,1545,5083,580,11.014361597481802,0.11410584300609876
2,987,1043,5083,573,11.013771394845564,0.11272870352154239
3,632,638,5083,581,11.02675585284281,0.11430257721817824
4,483,535,5083,567,11.024001573873697,0.11154829824906551
5,1149,895,5083,548,11.032657879205194,0.10781034821955537
6,2192,1893,5083,556,10.981310249852449,0.10938422191619122
7,4664,4145,5083,590,10.915404288805822,0.11607318512689356
8,8366,8879,5083,607,10.792642140468228,0.11941766673224474
9,5288,5731,4914,601,11.086080586080586,0.12230362230362231
10,4177,4123,5084,636,11.249803304484658,0.12509834775767112
11,4679,4125,5084,606,11.30684500393391,0.11919748229740362
12,5319,5074,5084,621,11.230920535011801,0.12214791502753737
13,5376,5332,5084,663,11.175059008654603,0.13040912667191187
14,5683,5124,5084,609,11.162273800157356,0.11978756884343036
15,6396,5823,5083,573,11.267951996852252,0.11272870352154239
16,7750,6895,5083,526,11.244540625614794,0.1034821955538068
17,10426,9175,5083,514,11.12118827464096,0.10112138500885304
18,11121,10092,5083,532,10.883336612236867,0.10466260082628369
19,6648,6999,5083,585,10.690930552823136,0.11508951406649616
20,4919,5055,5083,571,10.831792248672045,0.11233523509738344
21,4464,4695,5083,538,10.93173322840842,0.10584300609876057
22,3471,3860,5083,543,10.975998426126303,0.10682667715915797
23,2038,2390,5083,552,11.05292150304938,0.1085972850678733
