seed,scenario,manifest_hash,observed_requests,synthetic_requests,combined_requests,synthetic_share,p0_observed_failed_rentals,p2r_observed_failed_rentals,observed_failures_avoided,p0_combined_failed_rentals,p2r_combined_failed_rentals,combined_failures_avoided,observed_failure_direction,combined_failure_direction,combined_service_rate_pp_change,combined_p10_pp_change,stations_improved_vs_p0,stations_tied_vs_p0,stations_worsened_vs_p0,district_fallback_rate,hard_capped_interval_rate
20251124,base,18ea98a02cecd178e4a7e686781c1043d750ff48979c00d15c24ce8ee0ad1a44,16205,1673,17878,0.10323974082073434,2038,1080,958,3518,1922,1596,1,1,8.9272,28.7527,89,62,14,0.0056022408963585435,0.006069094304388422
20251124,high,d403dbf1f8fab9a8a32f3e8fe83a120f81fcac4042acbc641eda092864c55375,16205,1964,18169,0.12119716136994754,2099,1187,912,3785,2210,1575,1,1,8.6686,26.0504,88,63,14,0.0056022408963585435,0.006069094304388422
20251124,low,c8564399c32d0c876608bd85eb9020d07b5530b6fd14e33bc5c491fe2951c5ad,16205,1382,17587,0.08528232027152113,1963,1035,928,3230,1724,1506,1,1,8.5631,29.2754,89,60,16,0.0056022408963585435,0.006069094304388422
20251125,base,f0e03e3b4ef8e33952d0f266ff8f09a77d3e79a45a1b1a083407d1832b01d4c5,16205,1633,17838,0.1007713668620796,2020,1109,911,3459,1920,1539,1,1,8.6277,30.3031,90,61,14,0.0056022408963585435,0.002334267040149393
20251125,high,8b0faaa6027debd5827ac4ac6e50f16fa8c607eac1d4f9b6eba92f54c62f6daa,16205,1922,18127,0.11860536871336007,2068,1287,781,3703,2246,1457,1,1,8.0377,27.7873,86,58,21,0.0056022408963585435,0.002334267040149393
20251125,low,c03e83719394f24d344138da7c83c8e16f1a085ce377cf8fb5ec7153b1163ab2,16205,1328,17533,0.08195001542733724,1951,996,955,3172,1633,1539,1,1,8.7777,33.5929,92,57,16,0.0056022408963585435,0.002334267040149393
20251126,base,f5b99da173e3780adc797af69b0d6449d99f8af4dd26fdea542e018f08f7e3c7,16205,1654,17859,0.10206726319037335,2024,1175,849,3492,2054,1438,1,1,8.052,29.4302,90,58,17,0.0056022408963585435,0.0028011204481792717
20251126,high,5a014d857e8ae53fa1999542cbe38fffb0da95c4746496a8fa30ba7a65b5c3ea,16205,1940,18145,0.11971613699475471,2091,1160,931,3761,2173,1588,1,1,8.7517,27.4316,87,61,17,0.0056022408963585435,0.0028011204481792717
20251126,low,872ce3e3e54183e061ad7a769fd835827a28f41bf2ceda6fe242b0acebeb54e1,16205,1393,17598,0.0859611231101512,1964,1040,924,3246,1741,1505,1,1,8.5521,34.2246,88,58,19,0.0056022408963585435,0.0028011204481792717
20251127,base,10963c4132ee0a60734193ab91f402ab5214e3e59b7376d506a4c229f5a33f77,16205,1692,17897,0.10441221845109534,2027,1172,855,3538,2025,1513,1,1,8.454,29.021,86,62,17,0.0056022408963585435,0.004668534080298786
20251127,high,900c0da5973e716da20cdb618d29235dd2765f51edb58d75ef187c6ccc224d45,16205,1940,18145,0.11971613699475471,2077,1238,839,3770,2257,1513,1,1,8.3384,27.3864,83,62,20,0.0056022408963585435,0.004668534080298786
20251127,low,79adf24265da6a4e1468399f73dbb2ded685b35d79a83e8edc11dfa38c6e71f1,16205,1405,17610,0.0867016352977476,1977,1083,894,3254,1773,1481,1,1,8.41,30.0683,84,65,16,0.0056022408963585435,0.004668534080298786
20251128,base,fa0751d8abad15ee061440cec9a17e80585de0c7ec53c35646ccbc0dc4ac3d09,16205,1656,17861,0.10219068188830607,2029,1123,906,3485,1969,1516,1,1,8.4878,30.1282,90,58,17,0.0056022408963585435,0.0028011204481792717
20251128,high,5688e10c0298943583c5c5d371c5db70a2186666c079b8935ee4aff5e1dd6c2c,16205,1909,18114,0.11780314717679728,2084,1160,924,3724,2153,1571,1,1,8.6729,27.5253,93,60,12,0.0056022408963585435,0.0028011204481792717
20251128,low,056df0222623d7f3890045eebb70e9db2eb7df5243f95daafd6170407463f932,16205,1346,17551,0.08306078370873188,1974,1005,969,3205,1678,1527,1,1,8.7004,30.5354,89,63,13,0.0056022408963585435,0.0028011204481792717
20251129,base,7a5b78cc8e8b3d28ddc954a15cbbc81f48907f7644e10ba5ece559e05c298812,16205,1668,17873,0.1029311940759025,2018,1116,902,3495,1990,1505,1,1,8.4205,28.6403,88,59,18,0.0056022408963585435,0.004201680672268907
20251129,high,733696a78ea27408944912d8a9b5a3f63cde39c9a8b7f404be298edba2129713,16205,1931,18136,0.11916075285405739,2091,1209,882,3755,2241,1514,1,1,8.3481,28.999,87,64,14,0.0056022408963585435,0.004201680672268907
20251129,low,1c356e58ad2f71e217c30d20810195ec7c437e50113c7bd1d8ae49dccc4ac2ee,16205,1373,17578,0.08472693613082383,1964,998,966,3215,1661,1554,1,1,8.8406,34.2673,88,59,18,0.0056022408963585435,0.004201680672268907
