seed,scenario,policy_role,manifest_hash,district_fallback_rate,hard_capped_interval_rate,intensity_rate_capped_interval_rate,dropped_candidates_by_hard_cap,request_manifest_hash,observed_requests,observed_successful_rentals,observed_failed_rentals,observed_service_rate,synthetic_requests,synthetic_successful_rentals,synthetic_failed_rentals,synthetic_service_rate,combined_requests,combined_successful_rentals,combined_failed_rentals,combined_service_rate,observed_successful_internal_returns,synthetic_successful_internal_returns,observed_outbound_departures,synthetic_outbound_departures,observed_internal_in_transit_at_end,synthetic_internal_in_transit_at_end,observed_trip_flow_residual,synthetic_trip_flow_residual,combined_trip_flow_residual,total_conservation_residual,observed_p10_service_rate,synthetic_p10_service_rate,combined_p10_service_rate,empty_station_hours,bikes_moved,relocation_distance_km,relocation_vehicle_minutes
20251124,base,P0,18ea98a02cecd178e4a7e686781c1043d750ff48979c00d15c24ce8ee0ad1a44,0.0056022408963585435,0.006069094304388422,0.0,15,18ea98a02cecd178e4a7e686781c1043d750ff48979c00d15c24ce8ee0ad1a44,16205,14167,2038,0.874236,1673,193,1480,0.115362,17878,14360,3518,0.803222,9952,135,4210,58,5,0,0,0,0,0,0.519481,0.0,0.363636,4059.412,0,0.0,0.0
20251124,base,P2-R,18ea98a02cecd178e4a7e686781c1043d750ff48979c00d15c24ce8ee0ad1a44,0.0056022408963585435,0.006069094304388422,0.0,15,18ea98a02cecd178e4a7e686781c1043d750ff48979c00d15c24ce8ee0ad1a44,16205,15125,1080,0.933354,1673,831,842,0.496712,17878,15956,1922,0.892494,10708,618,4412,212,5,1,0,0,0,0,0.761905,0.135135,0.651163,2004.214,1327,404.968,2210.165
20251124,high,P0,d403dbf1f8fab9a8a32f3e8fe83a120f81fcac4042acbc641eda092864c55375,0.0056022408963585435,0.006069094304388422,0.0,15,d403dbf1f8fab9a8a32f3e8fe83a120f81fcac4042acbc641eda092864c55375,16205,14106,2099,0.870472,1964,278,1686,0.141548,18169,14384,3785,0.791678,9905,190,4196,88,5,0,0,0,0,0,0.5,0.0,0.352941,4135.965,0,0.0,0.0
20251124,high,P2-R,d403dbf1f8fab9a8a32f3e8fe83a120f81fcac4042acbc641eda092864c55375,0.0056022408963585435,0.006069094304388422,0.0,15,d403dbf1f8fab9a8a32f3e8fe83a120f81fcac4042acbc641eda092864c55375,16205,15018,1187,0.926751,1964,941,1023,0.479124,18169,15959,2210,0.878364,10625,707,4388,233,5,1,0,0,0,0,0.727273,0.171429,0.613445,2100.981,1272,395.214,2139.658
20251124,low,P0,c8564399c32d0c876608bd85eb9020d07b5530b6fd14e33bc5c491fe2951c5ad,0.0056022408963585435,0.006069094304388422,0.0,15,c8564399c32d0c876608bd85eb9020d07b5530b6fd14e33bc5c491fe2951c5ad,16205,14242,1963,0.878865,1382,115,1267,0.083213,17587,14357,3230,0.816342,10007,80,4230,35,5,0,0,0,0,0,0.534884,0.0,0.373913,4002.459,0,0.0,0.0
20251124,low,P2-R,c8564399c32d0c876608bd85eb9020d07b5530b6fd14e33bc5c491fe2951c5ad,0.0056022408963585435,0.006069094304388422,0.0,15,c8564399c32d0c876608bd85eb9020d07b5530b6fd14e33bc5c491fe2951c5ad,16205,15170,1035,0.936131,1382,693,689,0.501447,17587,15863,1724,0.901973,10728,536,4437,156,5,1,0,0,0,0,0.779661,0.107692,0.666667,1859.126,1270,395.165,2138.008
20251125,base,P0,f0e03e3b4ef8e33952d0f266ff8f09a77d3e79a45a1b1a083407d1832b01d4c5,0.0056022408963585435,0.002334267040149393,0.0,7,f0e03e3b4ef8e33952d0f266ff8f09a77d3e79a45a1b1a083407d1832b01d4c5,16205,14185,2020,0.875347,1633,194,1439,0.1188,17838,14379,3459,0.806088,9967,141,4213,53,5,0,0,0,0,0,0.52,0.0,0.363636,4058.596,0,0.0,0.0
20251125,base,P2-R,f0e03e3b4ef8e33952d0f266ff8f09a77d3e79a45a1b1a083407d1832b01d4c5,0.0056022408963585435,0.002334267040149393,0.0,7,f0e03e3b4ef8e33952d0f266ff8f09a77d3e79a45a1b1a083407d1832b01d4c5,16205,15096,1109,0.931564,1633,822,811,0.503368,17838,15918,1920,0.892365,10681,634,4410,188,5,0,0,0,0,0,0.78453,0.115385,0.666667,1996.411,1289,376.343,2095.79
20251125,high,P0,8b0faaa6027debd5827ac4ac6e50f16fa8c607eac1d4f9b6eba92f54c62f6daa,0.0056022408963585435,0.002334267040149393,0.0,7,8b0faaa6027debd5827ac4ac6e50f16fa8c607eac1d4f9b6eba92f54c62f6daa,16205,14137,2068,0.872385,1922,287,1635,0.149324,18127,14424,3703,0.795719,9931,211,4200,76,6,0,0,0,0,0,0.493333,0.0,0.363636,4127.054,0,0.0,0.0
20251125,high,P2-R,8b0faaa6027debd5827ac4ac6e50f16fa8c607eac1d4f9b6eba92f54c62f6daa,0.0056022408963585435,0.002334267040149393,0.0,7,8b0faaa6027debd5827ac4ac6e50f16fa8c607eac1d4f9b6eba92f54c62f6daa,16205,14918,1287,0.92058,1922,963,959,0.501041,18127,15881,2246,0.876096,10543,739,4369,224,6,0,0,0,0,0,0.714286,0.105263,0.641509,2223.241,1243,378.441,2067.585
