scenario,request_source,station_id,station_name,latitude,longitude,seeds,requests_mean,failures_avoided_mean,failures_avoided_median,failures_avoided_p10,failures_avoided_p90,worsening_seeds,worsening_probability,improving_seeds,improving_probability,tied_seeds,p0_service_rate_mean,p2r_service_rate_mean,observed_baseline_failures_avoided,observed_baseline_worsened,new_worsening_under_latent,stability_class
low,observed,2301,현대고등학교 건너편,37.52407074,127.02178955,50,68,1.18,1.0,0,2,0,0.0,42,0.84,8,0.982647,1.0,0,false,false,never_worsened
low,observed,2302,교보타워 버스정류장(신논현역 3번출구 후면),37.5055809,127.02427673,50,130,-0.42,0.0,-2,0,16,0.32,0,0.0,34,1.0,0.996769,0,false,true,intermittent_worsened
low,observed,2303,논현역 10번출구,37.51137161,127.02146149,50,146,27.08,27.0,24,30,0,0.0,50,1.0,0,0.769315,0.954794,23,false,false,never_worsened
low,observed,2304,대현그린타워,37.5116272,127.03565216,50,67,40.76,41.0,38,43,0,0.0,50,1.0,0,0.240597,0.848955,44,false,false,never_worsened
low,observed,2305,MCM 본사 직영점 앞,37.52064133,127.03450775,50,39,-2.64,-3.0,-4,-1,50,1.0,0,0.0,0,1.0,0.932308,-4,true,false,persistent_worsened
low,observed,2306,압구정역 2번 출구 옆,37.5271225,127.02871704,50,231,26.94,27.0,23,30,0,0.0,50,1.0,0,0.870823,0.987446,23,false,false,never_worsened
low,observed,2307,압구정 한양 3차 아파트,37.52838135,127.03901672,50,125,17.26,17.0,15,20,0,0.0,50,1.0,0,0.8288,0.96688,18,false,false,never_worsened
low,observed,2308,압구정파출소 앞,37.52930069,127.03559875,50,120,-1.4,-1.0,-4,0,31,0.62,0,0.0,19,1.0,0.988333,-1,true,false,intermittent_worsened
low,observed,2309,청담역(우리들병원 앞),37.51890182,127.04938507,50,50,20.04,20.0,19,21,0,0.0,50,1.0,0,0.5596,0.9604,21,false,false,never_worsened
low,observed,2310,청담동 맥도날드 옆(위치),37.52361298,127.04017639,50,49,4.68,5.0,4,5,0,0.0,50,1.0,0,0.90449,1.0,5,false,false,never_worsened
low,observed,2311,학동로 래미안 아파트 앞,37.51777267,127.04302216,50,43,19.24,19.0,18,20,0,0.0,50,1.0,0,0.510233,0.957674,19,false,false,never_worsened
low,observed,2312,청담역 13번 출구 앞,37.52058029,127.05632782,50,67,15.18,15.0,14,16,0,0.0,50,1.0,0,0.760298,0.986866,15,false,false,never_worsened
low,observed,2313,금원빌딩 앞,37.52505493,127.05252838,50,62,-0.06,0.0,0,0,3,0.06,0,0.0,47,1.0,0.999032,0,false,true,intermittent_worsened
low,observed,2315,봉은사역 5번출구 옆,37.51424789,127.06111908,50,109,0.0,0.0,0,0,0,0.0,0,0.0,50,1.0,1.0,0,false,false,never_worsened
