scenario_id,max_actions_per_decision,average_speed_kmh,vehicle_capacity,policy_name,start,end_exclusive,stations,observed_requests,successful_rentals,failed_rentals,service_rate,failures_per_1000_requests,empty_station_minutes,empty_station_hours,empty_station_time_rate,decision_epochs,relocation_batches,relocation_actions,bikes_moved,max_bikes_moved_in_epoch,max_relocation_actions_in_epoch,relocation_distance_km,relocation_vehicle_minutes,relocation_bikes_in_transit_at_end,initial_station_bikes,unconditional_inbound_returns,successful_internal_returns,outbound_departures,in_transit_at_end,final_station_bikes,conservation_residual,stations_with_requests,p10_station_service_rate,worst_station_id,worst_station_name,worst_station_service_rate,failures_avoided_vs_p0,failure_reduction_rate_vs_p0,service_rate_percentage_point_vs_p0,empty_hours_reduced_vs_p0,failures_avoided_per_100km
greedy_a1_c10_s10,1,10.0,10,greedy_a1_c10_s10,2025-11-24T00:00:00,2025-11-29T00:00:00,165,16205,14906,1299,0.91984,80.16,146452.663,2440.878,0.123277,120,120,120,584,5,1,104.584,1065.504,0,2105,3939,10531,4370,5,1669,0,165,0.714286,2405,청담공원앞 교차로,0.267442,606,0.31811,3.74,1505.783,579.438
greedy_a1_c10_s15,1,15.0,10,greedy_a1_c10_s15,2025-11-24T00:00:00,2025-11-29T00:00:00,165,16205,14912,1293,0.92021,79.79,147352.142,2455.869,0.124034,120,120,120,586,5,1,103.897,855.085,0,2105,3939,10537,4370,5,1669,0,165,0.714286,2405,청담공원앞 교차로,0.27907,612,0.32126,3.777,1490.792,589.045
greedy_a1_c10_s20,1,20.0,10,greedy_a1_c10_s20,2025-11-24T00:00:00,2025-11-29T00:00:00,165,16205,14912,1293,0.92021,79.79,147252.275,2454.205,0.12395,120,120,120,586,5,1,103.897,751.191,0,2105,3939,10537,4370,5,1669,0,165,0.714286,2405,청담공원앞 교차로,0.27907,612,0.32126,3.777,1492.456,589.045
greedy_a1_c20_s10,1,10.0,20,greedy_a1_c20_s10,2025-11-24T00:00:00,2025-11-29T00:00:00,165,16205,14906,1299,0.91984,80.16,146452.663,2440.878,0.123277,120,120,120,584,5,1,104.584,1065.504,0,2105,3939,10531,4370,5,1669,0,165,0.714286,2405,청담공원앞 교차로,0.267442,606,0.31811,3.74,1505.783,579.438
greedy_a1_c20_s15,1,15.0,20,greedy_a1_c20_s15,2025-11-24T00:00:00,2025-11-29T00:00:00,165,16205,14912,1293,0.92021,79.79,147352.142,2455.869,0.124034,120,120,120,586,5,1,103.897,855.085,0,2105,3939,10537,4370,5,1669,0,165,0.714286,2405,청담공원앞 교차로,0.27907,612,0.32126,3.777,1490.792,589.045
greedy_a1_c20_s20,1,20.0,20,greedy_a1_c20_s20,2025-11-24T00:00:00,2025-11-29T00:00:00,165,16205,14912,1293,0.92021,79.79,147252.275,2454.205,0.12395,120,120,120,586,5,1,103.897,751.191,0,2105,3939,10537,4370,5,1669,0,165,0.714286,2405,청담공원앞 교차로,0.27907,612,0.32126,3.777,1492.456,589.045
greedy_a2_c10_s10,2,10.0,10,greedy_a2_c10_s10,2025-11-24T00:00:00,2025-11-29T00:00:00,165,16205,15282,923,0.943042,56.958,76434.13,1273.902,0.064338,120,120,240,1049,10,2,225.118,2137.459,0,2105,3939,10820,4457,5,1582,0,165,0.827957,2405,청담공원앞 교차로,0.447674,982,0.515486,6.06,2672.759,436.216
greedy_a2_c10_s15,2,15.0,10,greedy_a2_c10_s15,2025-11-24T00:00:00,2025-11-29T00:00:00,165,16205,15285,920,0.943227,56.773,72935.178,1215.586,0.061393,120,120,240,1060,10,2,224.864,1694.452,0,2105,3939,10830,4449,6,1589,0,165,0.826667,2405,청담공원앞 교차로,0.418605,985,0.51706,6.078,2731.075,438.043
greedy_a2_c10_s20,2,20.0,10,greedy_a2_c10_s20,2025-11-24T00:00:00,2025-11-29T00:00:00,165,16205,15300,905,0.944153,55.847,72583.488,1209.725,0.061097,120,120,240,1059,10,2,227.161,1475.733,0,2105,3939,10839,4455,6,1583,0,165,0.827586,2405,청담공원앞 교차로,0.418605,1000,0.524934,6.171,2736.936,440.216
greedy_a2_c20_s10,2,10.0,20,greedy_a2_c20_s10,2025-11-24T00:00:00,2025-11-29T00:00:00,165,16205,15282,923,0.943042,56.958,76434.13,1273.902,0.064338,120,120,240,1049,10,2,225.118,2137.459,0,2105,3939,10820,4457,5,1582,0,165,0.827957,2405,청담공원앞 교차로,0.447674,982,0.515486,6.06,2672.759,436.216
greedy_a2_c20_s15,2,15.0,20,greedy_a2_c20_s15,2025-11-24T00:00:00,2025-11-29T00:00:00,165,16205,15285,920,0.943227,56.773,72935.178,1215.586,0.061393,120,120,240,1060,10,2,224.864,1694.452,0,2105,3939,10830,4449,6,1589,0,165,0.826667,2405,청담공원앞 교차로,0.418605,985,0.51706,6.078,2731.075,438.043
greedy_a2_c20_s20,2,20.0,20,greedy_a2_c20_s20,2025-11-24T00:00:00,2025-11-29T00:00:00,165,16205,15300,905,0.944153,55.847,72583.488,1209.725,0.061097,120,120,240,1059,10,2,227.161,1475.733,0,2105,3939,10839,4455,6,1583,0,165,0.827586,2405,청담공원앞 교차로,0.418605,1000,0.524934,6.171,2736.936,440.216
greedy_a3_c10_s10,3,10.0,10,greedy_a3_c10_s10,2025-11-24T00:00:00,2025-11-29T00:00:00,165,16205,15507,698,0.956927,43.073,39606.442,660.107,0.033339,120,118,337,1398,15,3,327.691,3014.643,0,2105,3939,10996,4506,5,1533,0,165,0.878453,2405,청담공원앞 교차로,0.540698,1207,0.633596,7.448,3286.554,368.335
greedy_a3_c10_s15,3,15.0,10,greedy_a3_c10_s15,2025-11-24T00:00:00,2025-11-29T00:00:00,165,16205,15539,666,0.958902,41.098,38076.722,634.612,0.032051,120,118,342,1432,15,3,329.888,2393.551,0,2105,3939,11024,4509,6,1529,0,165,0.889908,2405,청담공원앞 교차로,0.55814,1239,0.650394,7.646,3312.049,375.582
greedy_a3_c10_s20,3,20.0,10,greedy_a3_c10_s20,2025-11-24T00:00:00,2025-11-29T00:00:00,165,16205,15544,661,0.95921,40.79,41068.561,684.476,0.034569,120,118,342,1435,15,3,336.825,2086.735,0,2105,3939,11017,4521,6,1517,0,165,0.890909,2405,청담공원앞 교차로,0.534884,1244,0.653018,7.677,3262.185,369.331
greedy_a3_c20_s10,3,10.0,20,greedy_a3_c20_s10,2025-11-24T00:00:00,2025-11-29T00:00:00,165,16205,15507,698,0.956927,43.073,39606.442,660.107,0.033339,120,118,337,1398,15,3,327.691,3014.643,0,2105,3939,10996,4506,5,1533,0,165,0.878453,2405,청담공원앞 교차로,0.540698,1207,0.633596,7.448,3286.554,368.335
greedy_a3_c20_s15,3,15.0,20,greedy_a3_c20_s15,2025-11-24T00:00:00,2025-11-29T00:00:00,165,16205,15539,666,0.958902,41.098,38076.722,634.612,0.032051,120,118,342,1432,15,3,329.888,2393.551,0,2105,3939,11024,4509,6,1529,0,165,0.889908,2405,청담공원앞 교차로,0.55814,1239,0.650394,7.646,3312.049,375.582
greedy_a3_c20_s20,3,20.0,20,greedy_a3_c20_s20,2025-11-24T00:00:00,2025-11-29T00:00:00,165,16205,15544,661,0.95921,40.79,41068.561,684.476,0.034569,120,118,342,1435,15,3,336.825,2086.735,0,2105,3939,11017,4521,6,1517,0,165,0.890909,2405,청담공원앞 교차로,0.534884,1244,0.653018,7.677,3262.185,369.331
