policy_name,station_id,station_name,requests,successful_rentals,failed_rentals,service_rate,empty_minutes,empty_rate,relocated_in,relocated_out,initial_bikes,final_bikes
no_relocation,2301,현대고등학교 건너편,68,68,0,1.0,0.0,0.0,0,0,14,3
no_relocation,2302,교보타워 버스정류장(신논현역 3번출구 후면),130,130,0,1.0,0.0,0.0,0,0,10,21
no_relocation,2303,논현역 10번출구,146,117,29,0.80137,2155.883,0.299428,0,0,10,3
no_relocation,2304,대현그린타워,67,16,51,0.238806,5367.35,0.745465,0,0,8,1
no_relocation,2305,MCM 본사 직영점 앞,39,39,0,1.0,0.0,0.0,0,0,28,33
no_relocation,2306,압구정역 2번 출구 옆,231,207,24,0.896104,1505.4,0.209083,0,0,8,0
no_relocation,2307,압구정 한양 3차 아파트,125,104,21,0.832,1314.383,0.182553,0,0,7,2
no_relocation,2308,압구정파출소 앞,120,120,0,1.0,0.0,0.0,0,0,34,33
no_relocation,2309,청담역(우리들병원 앞),50,28,22,0.56,3971.567,0.551606,0,0,12,1
no_relocation,2310,청담동 맥도날드 옆(위치),49,44,5,0.897959,1797.983,0.24972,0,0,16,0
no_relocation,2311,학동로 래미안 아파트 앞,43,23,20,0.534884,4769.633,0.662449,0,0,8,0
no_relocation,2312,청담역 13번 출구 앞,67,51,16,0.761194,2195.533,0.304935,0,0,3,3
no_relocation,2313,금원빌딩 앞,62,62,0,1.0,0.0,0.0,0,0,8,8
no_relocation,2315,봉은사역 5번출구 옆,109,109,0,1.0,0.0,0.0,0,0,26,48
no_relocation,2317,삼성도로공원,93,93,0,1.0,0.0,0.0,0,0,22,11
no_relocation,2318,삼성중앙역4번출구(문화센터더 리빌),15,14,1,0.933333,202.45,0.028118,0,0,5,0
no_relocation,2319,포스코사거리 서측(수협 삼성동 지점),108,100,8,0.925926,708.333,0.09838,0,0,18,2
no_relocation,2320,도곡역 대치지구대 방향,87,87,0,1.0,0.0,0.0,0,0,31,64
no_relocation,2321,학여울역 사거리,34,34,0,1.0,1440.683,0.200095,0,0,8,4
no_relocation,2324,천주교 대치 2동 교회 옆,126,126,0,1.0,17.8,0.002472,0,0,6,4
no_relocation,2325,대치삼성아파트 앞 교차로,97,91,6,0.938144,844.217,0.117252,0,0,5,1
no_relocation,2326,대치동 삼성로,50,29,21,0.58,5265.483,0.731317,0,0,0,0
no_relocation,2327,뱅뱅사거리 랜드마크타워 앞,140,140,0,1.0,0.0,0.0,0,0,12,28
no_relocation,2328,르네상스 호텔 사거리 역삼지하보도 7번출구 앞,109,81,28,0.743119,2702.833,0.375394,0,0,23,1
no_relocation,2329,르네상스호텔사거리 역삼지하보도 2번출구,38,33,5,0.868421,4440.25,0.616701,0,0,2,0
no_relocation,2330,역삼월드메르디앙아파트 앞,69,69,0,1.0,1541.5,0.214097,0,0,3,3
no_relocation,2331,동영문화센터앞,96,74,22,0.770833,2538.533,0.352574,0,0,12,1
no_relocation,2332,선릉역3번출구,227,185,42,0.814978,1516.917,0.210683,0,0,6,0
no_relocation,2333,양재역 3번출구 주변,172,93,79,0.540698,4531.6,0.629389,0,0,1,0
no_relocation,2335,3호선 매봉역 3번출구앞,302,302,0,1.0,0.0,0.0,0,0,34,87
no_relocation,2336,강남세브란스교차로 래미안그레이튼 104동 앞,98,94,4,0.959184,666.05,0.092507,0,0,6,1
no_relocation,2337,대모산입구역 2번출구 앞,62,62,0,1.0,0.0,0.0,0,0,5,13
no_relocation,2339,현대아파트 정문 앞,76,75,1,0.986842,1743.45,0.242146,0,0,5,4
no_relocation,2340,삼호물산버스정류장(23370) 옆,313,313,0,1.0,0.0,0.0,0,0,34,64
no_relocation,2341,일원역 4~5번 출구 사이,80,44,36,0.55,3192.15,0.443354,0,0,10,0
no_relocation,2342,대청역 1번출구 뒤,171,160,11,0.935673,1107.383,0.153803,0,0,5,2
no_relocation,2344,리엔파크 2단지 앞,62,62,0,1.0,0.0,0.0,0,0,12,19
