station_id,station_name,requests,p0_successful_rentals,p0_failed_rentals,p0_service_rate,p0_empty_minutes,p0_empty_rate,initial_bikes,p0_final_bikes,default_successful_rentals,default_failed_rentals,default_service_rate,default_empty_minutes,default_empty_rate,default_relocated_in,default_relocated_out,default_final_bikes,default_failures_avoided_vs_p0,default_service_rate_pp_vs_p0,default_empty_hours_reduced_vs_p0,service_successful_rentals,service_failed_rentals,service_service_rate,service_empty_minutes,service_empty_rate,service_relocated_in,service_relocated_out,service_final_bikes,service_failures_avoided_vs_p0,service_service_rate_pp_vs_p0,service_empty_hours_reduced_vs_p0,latitude,longitude,service_additional_failures_avoided_vs_default
2301,현대고등학교 건너편,68,68,0,1.0,0.0,0.0,14,3,68,0,1.0,0.0,0.0,0,0,7,0,0.0,0.0,68,0,1.0,0.0,0.0,0,1,6,0,0.0,0.0,37.52407074,127.02178955,0
2302,교보타워 버스정류장(신논현역 3번출구 후면),130,130,0,1.0,0.0,0.0,10,21,130,0,1.0,0.0,0.0,0,29,7,0,0.0,0.0,130,0,1.0,4.183,0.000581,4,35,5,0,0.0,-0.07,37.5055809,127.02427673,0
2303,논현역 10번출구,146,117,29,0.80137,2155.883,0.299428,10,3,140,6,0.958904,199.796,0.027749,20,4,2,23,15.753,32.601,140,6,0.958904,196.4,0.027278,20,5,6,23,15.753,32.658,37.51137161,127.02146149,0
2304,대현그린타워,67,16,51,0.238806,5367.35,0.745465,8,1,59,8,0.880597,372.761,0.051772,45,0,5,43,64.179,83.243,60,7,0.895522,318.188,0.044193,44,0,5,44,65.672,84.153,37.5116272,127.03565216,1
2305,MCM 본사 직영점 앞,39,39,0,1.0,0.0,0.0,28,33,32,7,0.820513,126.306,0.017542,10,52,6,-7,-17.949,-2.105,37,2,0.948718,96.012,0.013335,15,53,7,-2,-5.128,-1.6,37.52064133,127.03450775,5
2306,압구정역 2번 출구 옆,231,207,24,0.896104,1505.4,0.209083,8,0,229,2,0.991342,94.071,0.013065,15,9,1,22,9.524,23.522,229,2,0.991342,97.604,0.013556,15,10,1,22,9.524,23.463,37.5271225,127.02871704,0
2307,압구정 한양 3차 아파트,125,104,21,0.832,1314.383,0.182553,7,2,122,3,0.976,127.332,0.017685,15,4,2,18,14.4,19.784,123,2,0.984,113.334,0.015741,20,9,2,19,15.2,20.017,37.52838135,127.03901672,1
2308,압구정파출소 앞,120,120,0,1.0,0.0,0.0,34,33,119,1,0.991667,85.7,0.011903,5,34,9,-1,-0.833,-1.428,119,1,0.991667,75.033,0.010421,5,39,6,-1,-0.833,-1.251,37.52930069,127.03559875,0
2309,청담역(우리들병원 앞),50,28,22,0.56,3971.567,0.551606,12,1,49,1,0.98,174.069,0.024176,19,0,5,21,42.0,63.292,47,3,0.94,142.063,0.019731,18,0,5,19,38.0,63.825,37.51890182,127.04938507,-2
2310,청담동 맥도날드 옆(위치),49,44,5,0.897959,1797.983,0.24972,16,0,49,0,1.0,146.036,0.020283,10,9,1,5,10.204,27.532,49,0,1.0,0.0,0.0,8,5,3,5,10.204,29.966,37.52361298,127.04017639,0
2311,학동로 래미안 아파트 앞,43,23,20,0.534884,4769.633,0.662449,8,0,42,1,0.976744,136.452,0.018952,20,0,4,19,44.186,77.22,42,1,0.976744,134.76,0.018717,20,0,4,19,44.186,77.248,37.51777267,127.04302216,0
