station_id,station_name,observed_hours,empty_hours,over_nominal_hours,max_available_bikes,rentals,returns,net_flow,total_events,empty_rate,activity_evidence,actionable
3620,청담역 11번 출구,719,518,0,9,95,47,-48,142,0.7204450625869263,true,true
2349,역삼빌딩 앞(하나은행 옆),719,456,19,18,303,203,-100,506,0.6342141863699583,true,true
4936,SK텔레콤(T1) 인근,719,423,3,16,138,98,-40,236,0.588317107093185,true,true
4916,청담역 1번출구,719,406,20,8,121,108,-13,229,0.564673157162726,true,true
2430,강남파이낸스센터앞(역삼역2번출구),719,394,35,20,545,427,-118,972,0.5479833101529903,true,true
4915,영동중앙교회 버스정류장,719,374,1,7,214,217,3,431,0.5201668984700973,true,true
2329,르네상스호텔사거리 역삼지하보도 2번출구,719,365,0,6,248,249,1,497,0.5076495132127955,true,true
2386,크린랩 본사,719,329,48,16,187,130,-57,317,0.4575799721835883,true,true
2398,더라움,719,324,71,17,272,209,-63,481,0.4506258692628651,true,true
3646,선정릉역 4번 출구,719,301,36,15,329,314,-15,643,0.41863699582753827,true,true
2357,르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),719,285,37,15,417,352,-65,769,0.3963838664812239,true,true
2326,대치동 삼성로,719,282,89,19,495,318,-177,813,0.39221140472878996,true,true
2368,도곡동 경남아파트 건너편,719,235,107,18,388,294,-94,682,0.32684283727399166,true,true
2304,대현그린타워,719,218,84,17,409,80,-329,489,0.3031988873435327,true,true
2311,학동로 래미안 아파트 앞,719,213,133,14,266,135,-131,401,0.29624478442280944,true,true
2353,강남구청역 2번출구 뒤,719,212,121,18,736,413,-323,1149,0.2948539638386648,true,true
2380,삼성동베이직하우스앞,719,210,1,13,387,353,-34,740,0.29207232267037553,true,true
2333,양재역 3번출구 주변,719,207,39,22,1051,606,-445,1657,0.28789986091794156,true,true
2328,르네상스 호텔 사거리 역삼지하보도 7번출구 앞,719,207,100,27,586,478,-108,1064,0.28789986091794156,true,true
2331,동영문화센터앞,719,204,82,17,520,413,-107,933,0.28372739916550765,true,true
2371,한국우편사업진흥원,719,200,135,13,356,135,-221,491,0.27816411682892905,true,true
2318,삼성중앙역4번출구(문화센터더 리빌),719,200,13,20,144,130,-14,274,0.27816411682892905,true,true
3642,LH강남힐스테이트아파트,719,198,112,29,709,210,-499,919,0.2753824756606398,true,true
4905,강남경찰서,719,197,183,44,1383,1387,4,2770,0.27399165507649514,true,true
2417,선정릉 디캠프(D.CAMP)앞,719,191,15,12,207,188,-19,395,0.26564673157162727,true,true
2354,청담역 2번출구,719,191,100,18,149,120,-29,269,0.26564673157162727,true,true
3622,은마아파트입구 사거리(1),719,190,41,13,274,268,-6,542,0.26425591098748263,true,true
3636,삼성중앙역·플래티넘아파트 정류소,719,189,123,20,480,442,-38,922,0.26286509040333794,true,true
2392,구룡산 입구 (구룡산 서울둘레길 입구),719,182,129,16,123,57,-66,180,0.25312934631432543,true,true
3644,상록수아파트,719,174,301,17,504,165,-339,669,0.24200278164116829,true,true
3630,개포우성6차아파트 정문 앞,719,169,25,17,293,253,-40,546,0.23504867872044508,true,true
3604,삼성중앙역 5번출구,719,166,4,20,520,478,-42,998,0.23087621696801114,true,true
4932,개포래미안포레스트 130동 맞은편,719,156,24,14,361,358,-3,719,0.21696801112656466,true,true
2382,역삼동 sk뷰 501동앞,719,141,35,9,302,307,5,609,0.19610570236439498,true,true
2401,밀알학교 입구 (삼성서울병원 입구),719,140,72,19,282,185,-97,467,0.19471488178025034,true,true
2330,역삼월드메르디앙아파트 앞,719,132,22,13,509,503,-6,1012,0.1835883171070932,true,true
4914,도심공항타워 앞,719,130,275,29,947,953,6,1900,0.1808066759388039,true,true
4902,구역삼세무서 교차로,719,125,197,22,751,762,11,1513,0.17385257301808066,true,true
4937,개포래미안포레스트126동 앞,719,122,190,23,401,316,-85,717,0.16968011126564672,true,true
4924,논현동가구거리,719,118,55,14,279,273,-6,552,0.16411682892906815,true,true
2303,논현역 10번출구,719,110,50,22,976,681,-295,1657,0.15299026425591097,true,true
2405,청담공원앞 교차로,719,107,122,31,720,254,-466,974,0.14881780250347706,true,true
2381,언주역 6번출구앞,719,106,37,13,457,460,3,917,0.1474269819193324,true,true
2339,현대아파트 정문 앞,719,104,116,16,477,470,-7,947,0.14464534075104313,true,true
2388,강남구 도시관리공단,719,103,101,32,527,206,-321,733,0.14325452016689846,true,true
2341,일원역 4~5번 출구 사이,719,98,276,23,661,341,-320,1002,0.13630041724617525,true,true
2336,강남세브란스교차로 래미안그레이튼 104동 앞,719,96,45,19,508,499,-9,1007,0.13351877607788595,true,true
3649,구룡역 5번 출구,719,93,98,12,448,433,-15,881,0.12934631432545202,true,true
2418,봉은사역 7번 출구,719,90,116,23,730,729,-1,1459,0.12517385257301808,true,true
2356,강남구청,719,90,152,27,354,230,-124,584,0.12517385257301808,true,true
4931,디에이치퍼스티어아이파크 124동 앞,719,87,259,26,741,672,-69,1413,0.12100139082058414,true,true
2358,구룡초사거리 (현대아파트10동 앞 ),719,87,155,17,549,511,-38,1060,0.12100139082058414,true,true
2309,청담역(우리들병원 앞),719,84,189,22,364,138,-226,502,0.1168289290681502,true,true
2410,포스코피앤에스타워 (역삼역 3번출구 부근),719,82,274,29,926,603,-323,1529,0.11404728789986092,true,true
2360,도곡1동 주민센터 교차로,719,81,98,23,722,719,-3,1441,0.11265646731571627,true,true
4906,섬유센터 앞,719,68,149,28,1482,1495,13,2977,0.09457579972183588,true,true
2319,포스코사거리 서측(수협 삼성동 지점),719,68,121,23,573,578,5,1151,0.09457579972183588,true,true
2332,선릉역3번출구,719,66,83,20,1268,1268,0,2536,0.0917941585535466,true,true
3614,은마아파트 입구 사거리,719,59,210,24,1148,1147,-1,2295,0.08205841446453407,true,true
3624,대모산입구역 7번 출구 앞,719,58,79,16,234,209,-25,443,0.08066759388038942,true,true
3615,서울 논현동우체국 앞,719,57,88,16,331,332,1,663,0.07927677329624479,true,true
2377,수서역 5번출구,719,55,426,52,2933,3192,259,6125,0.07649513212795549,true,true
2351,청소년수련관(수영장)앞,719,54,276,23,343,248,-95,591,0.07510431154381085,true,true
2385,학동역,719,53,76,18,542,539,-3,1081,0.0737134909596662,true,true
2301,현대고등학교 건너편,719,52,106,18,473,479,6,952,0.07232267037552156,true,true
3634,국악고교 앞 교차로,719,50,288,18,525,523,-2,1048,0.06954102920723226,true,true
2350,래미안그레이튼102동앞,719,49,54,15,266,258,-8,524,0.06815020862308763,true,true
2321,학여울역 사거리,719,48,32,12,260,267,7,527,0.06675938803894298,true,true
4928,교수마을 입구,719,45,343,21,257,242,-15,499,0.06258692628650904,true,true
3643,더시그넘하우스 앞,719,42,237,14,576,568,-8,1144,0.0584144645340751,true,true
4909,노보텔 앰배서더 앞,719,42,368,21,358,110,-248,468,0.0584144645340751,true,true
2362,신사동 가로수길 입구,719,40,239,24,583,569,-14,1152,0.055632823365785816,true,true
2394,개포래미안포레스트아파트 107동 앞,719,38,264,26,705,525,-180,1230,0.05285118219749652,true,true
2348,포스코사거리(기업은행),719,37,382,85,1797,1803,6,3600,0.05146036161335188,true,true
3627,압구정나들목,719,37,175,32,938,956,18,1894,0.05146036161335188,true,true
2370,한티역 3번출구,719,37,59,17,353,353,0,706,0.05146036161335188,true,true
4919,학여울역사거리(은마아파트),719,37,263,12,241,241,0,482,0.05146036161335188,true,true
2369,KT선릉타워,719,34,84,33,893,902,9,1795,0.04728789986091794,true,true
2396,영동3교 북단(우성캐릭터 앞 보도),719,34,55,20,450,427,-23,877,0.04728789986091794,true,true
2325,대치삼성아파트 앞 교차로,719,33,119,26,753,742,-11,1495,0.0458970792767733,true,true
2312,청담역 13번 출구 앞,719,31,160,19,447,358,-89,805,0.043115438108484005,true,true
2306,압구정역 2번 출구 옆,719,30,0,26,1648,1608,-40,3256,0.04172461752433936,true,true
2307,압구정 한양 3차 아파트,719,30,185,23,855,812,-43,1667,0.04172461752433936,true,true
4942,율현삼거리,719,29,286,23,195,156,-39,351,0.04033379694019471,true,true
2403,공무원연금매점 교차로 (개포주공9단지 입구),719,26,215,26,972,834,-138,1806,0.03616133518776078,true,true
3641,대청역,719,25,246,29,1165,1163,-2,2328,0.03477051460361613,true,true
4913,레베쌍트 빌딩 앞,719,25,164,25,296,314,18,610,0.03477051460361613,true,true
4926,대치우성아파트 사거리,719,22,251,28,1355,1335,-20,2690,0.030598052851182198,true,true
2387,래미안강남힐즈 사거리,719,22,395,26,933,901,-32,1834,0.030598052851182198,true,true
2315,봉은사역 5번출구 옆,719,21,363,45,778,828,50,1606,0.02920723226703755,true,true
3647,구룡역 1번 출구,719,20,182,22,501,466,-35,967,0.027816411682892908,true,true
2352,서울본부세관(건설회관 앞),719,20,554,25,447,128,-319,575,0.027816411682892908,true,true
2342,대청역 1번출구 뒤,719,19,93,23,1216,1202,-14,2418,0.02642559109874826,true,true
2376,수서역 6번출구 앞,719,19,480,54,1104,1303,199,2407,0.02642559109874826,true,true
2384,자곡사거리,719,18,427,44,1536,1576,40,3112,0.025034770514603615,true,true
2407,역삼서초삼성 세무서 앞 (역삼빌딩 앞,719,18,235,28,1296,1274,-22,2570,0.025034770514603615,true,true
2375,수서역 1번출구 앞,719,18,317,42,1094,1318,224,2412,0.025034770514603615,true,true
2427,개포고등학교 정문앞,719,18,175,18,806,797,-9,1603,0.025034770514603615,true,true
3648,구룡역 4번 출구,719,18,248,14,142,152,10,294,0.025034770514603615,true,true
2415,한티역 롯데백화점 앞,719,17,41,22,957,959,2,1916,0.02364394993045897,true,true
4935,도곡삼성래미안,719,17,374,24,517,499,-18,1016,0.02364394993045897,true,true
2420,학여울역 사거리(LG베스트샵 앞),719,16,53,30,787,699,-88,1486,0.022253129346314324,true,true
4938,LH수서2단지 201동 앞,719,12,576,67,1758,1798,40,3556,0.016689847009735744,true,true
3628,역삼1동 주민센터,719,11,502,51,819,903,84,1722,0.015299026425591099,true,true
2419,"봉은사역 1,2번 출구",719,11,195,34,568,597,29,1165,0.015299026425591099,true,true
3610,윗반마을 입구,719,11,29,12,134,125,-9,259,0.015299026425591099,true,true
2324,천주교 대치 2동 교회 옆,719,10,60,18,862,874,12,1736,0.013908205841446454,true,true
2426,강남한신휴플러스 6단지,719,10,397,28,568,469,-99,1037,0.013908205841446454,true,true
3629,청담사거리(신한오피스텔빌딩 앞),719,10,458,23,115,230,115,345,0.013908205841446454,true,true
4923,수협대치동지점,719,9,361,23,859,853,-6,1712,0.012517385257301807,true,true
4907,극동스포츠 앞,719,9,575,29,508,420,-88,928,0.012517385257301807,true,true
2416,한티역 6번 출구,719,9,362,25,501,478,-23,979,0.012517385257301807,true,true
4903,신사스퀘어,719,8,534,28,307,330,23,637,0.011126564673157162,true,true
4917,일원에코파크 주차장,719,7,632,50,1170,1363,193,2533,0.009735744089012517,true,true
4925,청담백영빌딩 앞,719,6,437,33,262,302,40,564,0.008344923504867872,true,true
2373,개포동역 사거리,719,5,28,22,349,331,-18,680,0.006954102920723227,true,true
2406,논현동 광명빌딩 앞,719,5,304,26,229,174,-55,403,0.006954102920723227,true,true
2327,뱅뱅사거리 랜드마크타워 앞,719,4,307,46,940,1144,204,2084,0.005563282336578581,true,true
4929,파스쿠찌 청담사거리점 앞,719,4,613,32,468,571,103,1039,0.005563282336578581,true,true
4930,학여울역 1번 출구,719,4,445,26,431,311,-120,742,0.005563282336578581,true,true
3651,개포동역 4번출구,719,3,669,72,1178,1242,64,2420,0.004172461752433936,true,true
2389,경기여자고등학교 후문 (삼성로3길 입구),719,3,144,28,743,740,-3,1483,0.004172461752433936,true,true
3602,한국지역난방공사강남지사,719,3,539,26,414,406,-8,820,0.004172461752433936,true,true
2347,두산건설 본사,719,3,323,23,361,141,-220,502,0.004172461752433936,true,true
2363,강남 을지병원 교차로,719,3,413,34,311,319,8,630,0.004172461752433936,true,true
3640,일원1동주민센터앞 사거리,719,2,666,39,1230,1255,25,2485,0.0027816411682892906,true,true
2411,세곡동 성당,719,1,314,37,948,909,-39,1857,0.0013908205841446453,true,true
2390,구룡마을 입구 (래미안블레스티지 아파트),719,1,435,42,886,882,-4,1768,0.0013908205841446453,true,true
4940,한강버스 압구정 선착장,719,0,719,109,2997,2867,-130,5864,0.0,true,true
2340,삼호물산버스정류장(23370) 옆,719,0,554,40,2178,2318,140,4496,0.0,true,true
2335,3호선 매봉역 3번출구앞,719,0,673,56,1894,2229,335,4123,0.0,true,true
2404,대모산입구역 4번 출구 앞,719,0,699,70,1524,1613,89,3137,0.0,true,true
2414,도곡역 아카데미스위트 앞,719,0,677,58,1368,1483,115,2851,0.0,true,true
2431,대치역 7번출구,719,0,719,83,1127,1315,188,2442,0.0,true,true
2413,도곡역 1번 출구,719,0,693,55,1126,1199,73,2325,0.0,true,true
2423,영희초교 사거리(래미안개포루체하임),719,0,612,40,1055,1108,53,2163,0.0,true,true
2408,강남한양수자인아파트,719,0,438,38,1025,1038,13,2063,0.0,true,true
2359,"국립국악중,고교 정문 맞은편",719,0,599,28,977,1045,68,2022,0.0,true,true
2409,역삼동 디오슈페리움 (우성아파트 사거리),719,0,84,32,966,975,9,1941,0.0,true,true
2302,교보타워 버스정류장(신논현역 3번출구 후면),719,0,627,44,914,1057,143,1971,0.0,true,true
2308,압구정파출소 앞,719,0,576,47,824,877,53,1701,0.0,true,true
2372,대치역 사거리,719,0,690,69,824,1132,308,1956,0.0,true,true
2317,삼성도로공원,719,0,595,34,753,756,3,1509,0.0,true,true
3618,서울율현초교 삼거리,719,0,719,74,726,960,234,1686,0.0,true,true
4918,매봉역 1번출구,719,0,719,53,629,707,78,1336,0.0,true,true
2320,도곡역 대치지구대 방향,719,0,704,50,613,741,128,1354,0.0,true,true
3609,언주초등학교 입구,719,0,295,33,579,638,59,1217,0.0,true,true
2365,K+ 타워 앞,719,0,693,63,528,649,121,1177,0.0,true,true
2422,수서동 성당 맞은편,719,0,622,39,507,544,37,1051,0.0,true,true
2344,리엔파크 2단지 앞,719,0,675,34,499,563,64,1062,0.0,true,true
3606,신사동주민센터 옆,719,0,349,23,491,544,53,1035,0.0,true,true
2337,대모산입구역 2번출구 앞,719,0,438,34,475,442,-33,917,0.0,true,true
2313,금원빌딩 앞,719,0,259,29,449,471,22,920,0.0,true,true
3623,일원에코파크 앞(개포로 방면),719,0,699,41,438,490,52,928,0.0,true,true
2364,도산공원교차로,719,0,595,34,377,401,24,778,0.0,true,true
4941,압구정로 11길,719,0,565,27,366,379,13,745,0.0,true,true
3611,방죽마을 입구,719,0,662,42,366,433,67,799,0.0,true,true
3638,신청담나들목,719,0,719,41,356,395,39,751,0.0,true,true
3612,은곡마을,719,0,665,35,351,515,164,866,0.0,true,true
3616,역삼중학교 앞(체육관 방향),719,0,253,18,312,313,1,625,0.0,true,true
2310,청담동 맥도날드 옆(위치),719,0,421,26,264,264,0,528,0.0,true,true
4908,SB타워 앞,719,0,663,34,259,307,48,566,0.0,true,true
4939,도산공원,719,0,602,24,256,254,-2,510,0.0,true,true
2383,보금자리정원,719,0,506,28,243,248,5,491,0.0,true,true
2305,MCM 본사 직영점 앞,719,0,719,48,233,325,92,558,0.0,true,true
2425,세곡동 사거리(대왕초등학교 정류장),719,0,661,36,232,280,48,512,0.0,true,true
3637,세곡데이케어센터,719,0,521,22,202,159,-43,361,0.0,true,true
3621,휘문고교 사거리,719,719,0,0,0,0,0,0,1.0,false,false
2355,삼성역 5~6번 출구 사이,719,719,0,0,0,0,0,0,1.0,false,false
3603,삼성역 2번출구,719,719,0,0,0,0,0,0,1.0,false,false
2323,주식회사 오뚜기 정문 앞,719,719,0,0,0,0,0,0,1.0,false,false
2316,삼성역 8번출구,719,719,0,0,0,0,0,0,1.0,false,false
2322,삼성역 3번 출구,719,719,0,0,0,0,0,0,1.0,false,false
2421,신논현역 4번출구,719,719,0,0,0,0,0,0,1.0,false,false
4901,KT&G타워 옆(상상마당 대치아트홀),719,719,0,0,0,0,0,0,1.0,false,false
2314,청담나들목입구,719,719,0,0,0,0,0,0,1.0,false,false
3605,봉은사역6번출구(현대아이파크타워앞),719,696,0,2,1,3,2,4,0.9680111265646731,true,false
2334,삼호아파트 2동 ( 간선도로),317,138,0,7,105,110,5,215,0.4353312302839117,true,false
2391,구룡터널 입구(개포1단지아파트),719,280,0,3,9,7,-2,16,0.3894297635605007,true,false
